Ticker,Sector,Exchange
SKG,Du lịch,HOSE
TCT,Du lịch,HOSE
VNG,Du lịch,HOSE
VNS,Du lịch,HOSE
CMS,Du lịch,HNX
MAS,Du lịch,HNX
OCH,Du lịch,HNX
PGT,Du lịch,HNX
SGH,Du lịch,HNX
BSG,Du lịch,UPCOM
BTV,Du lịch,UPCOM
DSP,Du lịch,UPCOM
DTI,Du lịch,UPCOM
EIN,Du lịch,UPCOM
HHG,Du lịch,UPCOM
PDC,Du lịch,UPCOM
TSD,Du lịch,UPCOM
VEF,Du lịch,UPCOM
VTD,Du lịch,UPCOM
VTR,Du lịch,UPCOM
ASP,Dầu khí,HOSE
CNG,Dầu khí,HOSE
GAS,Dầu khí,HOSE
GSP,Dầu khí,HOSE
PGC,Dầu khí,HOSE
PGD,Dầu khí,HOSE
PLX,Dầu khí,HOSE
PMG,Dầu khí,HOSE
PSH,Dầu khí,HOSE
PVD,Dầu khí,HOSE
PVP,Dầu khí,HOSE
PVT,Dầu khí,HOSE
TDG,Dầu khí,HOSE
VTO,Dầu khí,HOSE
PCG,Dầu khí,HNX
PGS,Dầu khí,HNX
PJC,Dầu khí,HNX
PLC,Dầu khí,HNX
PPT,Dầu khí,HNX
PPY,Dầu khí,HNX
PSC,Dầu khí,HNX
PTS,Dầu khí,HNX
PTX,Dầu khí,HNX
PVB,Dầu khí,HNX
PVC,Dầu khí,HNX
PVG,Dầu khí,HNX
PVS,Dầu khí,HNX
SHE,Dầu khí,HNX
PEG,Dầu khí,UPCOM
AAT,Dệt - May mặc,HOSE
ADS,Dệt - May mặc,HOSE
EVE,Dệt - May mặc,HOSE
GIL,Dệt - May mặc,HOSE
GMC,Dệt - May mặc,HOSE
HTG,Dệt - May mặc,HOSE
KMR,Dệt - May mặc,HOSE
MSH,Dệt - May mặc,HOSE
STK,Dệt - May mặc,HOSE
TCM,Dệt - May mặc,HOSE
TVT,Dệt - May mặc,HOSE
TDT,Dệt - May mặc,HNX
TNG,Dệt - May mặc,HNX
BDG,Dệt - May mặc,UPCOM
HDM,Dệt - May mặc,UPCOM
HNI,Dệt - May mặc,UPCOM
HSM,Dệt - May mặc,UPCOM
HUG,Dệt - May mặc,UPCOM
MGG,Dệt - May mặc,UPCOM
MPT,Dệt - May mặc,UPCOM
NDT,Dệt - May mặc,UPCOM
NJC,Dệt - May mặc,UPCOM
NTT,Dệt - May mặc,UPCOM
SGI,Dệt - May mặc,UPCOM
SPB,Dệt - May mặc,UPCOM
THM,Dệt - May mặc,UPCOM
TLI,Dệt - May mặc,UPCOM
TTG,Dệt - May mặc,UPCOM
VDN,Dệt - May mặc,UPCOM
VGG,Dệt - May mặc,UPCOM
VGT,Dệt - May mặc,UPCOM
ASG,Giao thông vận tải,HOSE
CLL,Giao thông vận tải,HOSE
DVP,Giao thông vận tải,HOSE
GMD,Giao thông vận tải,HOSE
GSP,Giao thông vận tải,HOSE
HAH,Giao thông vận tải,HOSE
HTV,Giao thông vận tải,HOSE
ILB,Giao thông vận tải,HOSE
MHC,Giao thông vận tải,HOSE
NCT,Giao thông vận tải,HOSE
PDN,Giao thông vận tải,HOSE
PJT,Giao thông vận tải,HOSE
PVP,Giao thông vận tải,HOSE
PVT,Giao thông vận tải,HOSE
SCS,Giao thông vận tải,HOSE
SFI,Giao thông vận tải,HOSE
SGN,Giao thông vận tải,HOSE
SKG,Giao thông vận tải,HOSE
TCL,Giao thông vận tải,HOSE
TCO,Giao thông vận tải,HOSE
TMS,Giao thông vận tải,HOSE
VIP,Giao thông vận tải,HOSE
VNL,Giao thông vận tải,HOSE
VNS,Giao thông vận tải,HOSE
VOS,Giao thông vận tải,HOSE
VSC,Giao thông vận tải,HOSE
VTO,Giao thông vận tải,HOSE
CAG,Giao thông vận tải,HNX
CCR,Giao thông vận tải,HNX
CDN,Giao thông vận tải,HNX
CIA,Giao thông vận tải,HNX
DXP,Giao thông vận tải,HNX
GIC,Giao thông vận tải,HNX
HMH,Giao thông vận tải,HNX
MAC,Giao thông vận tải,HNX
PCT,Giao thông vận tải,HNX
PGT,Giao thông vận tải,HNX
PRC,Giao thông vận tải,HNX
PSC,Giao thông vận tải,HNX
PTS,Giao thông vận tải,HNX
TOT,Giao thông vận tải,HNX
VGP,Giao thông vận tải,HNX
VMS,Giao thông vận tải,HNX
VNF,Giao thông vận tải,HNX
VSA,Giao thông vận tải,HNX
VSM,Giao thông vận tải,HNX
WCS,Giao thông vận tải,HNX
CCT,Giao thông vận tải,UPCOM
DDM,Giao thông vận tải,UPCOM
HHG,Giao thông vận tải,UPCOM
IST,Giao thông vận tải,UPCOM
MVN,Giao thông vận tải,UPCOM
PHP,Giao thông vận tải,UPCOM
PSP,Giao thông vận tải,UPCOM
QSP,Giao thông vận tải,UPCOM
SAC,Giao thông vận tải,UPCOM
SGP,Giao thông vận tải,UPCOM
SSG,Giao thông vận tải,UPCOM
SWC,Giao thông vận tải,UPCOM
TCW,Giao thông vận tải,UPCOM
VFC,Giao thông vận tải,UPCOM
VFR,Giao thông vận tải,UPCOM
VNA,Giao thông vận tải,UPCOM
ASG,Hàng không,HOSE
AST,Hàng không,HOSE
HVN,Hàng không,HOSE
NCT,Hàng không,HOSE
SCS,Hàng không,HOSE
SGN,Hàng không,HOSE
VJC,Hàng không,HOSE
CIA,Hàng không,HNX
MAS,Hàng không,HNX
ACV,Hàng không,UPCOM
NAS,Hàng không,UPCOM
NCS,Hàng không,UPCOM
SAS,Hàng không,UPCOM
ACB,Ngân hàng,HOSE
BID,Ngân hàng,HOSE
BVB,Ngân hàng,HOSE
CTG,Ngân hàng,HOSE
EIB,Ngân hàng,HOSE
HDB,Ngân hàng,HOSE
LPB,Ngân hàng,HOSE
MBB,Ngân hàng,HOSE
MSB,Ngân hàng,HOSE
OCB,Ngân hàng,HOSE
SHB,Ngân hàng,HOSE
SSB,Ngân hàng,HOSE
STB,Ngân hàng,HOSE
TCB,Ngân hàng,HOSE
TPB,Ngân hàng,HOSE
VCB,Ngân hàng,HOSE
VIB,Ngân hàng,HOSE
VPB,Ngân hàng,HOSE
NVB,Ngân hàng,HNX
ABB,Ngân hàng,UPCOM
NAB,Ngân hàng,UPCOM
VAB,Ngân hàng,UPCOM
BMC,Than - Khoáng sản,HOSE
DHM,Than - Khoáng sản,HOSE
FCM,Than - Khoáng sản,HOSE
KSB,Than - Khoáng sản,HOSE
LBM,Than - Khoáng sản,HOSE
BKC,Than - Khoáng sản,HNX
CLM,Than - Khoáng sản,HNX
HGM,Than - Khoáng sản,HNX
HLC,Than - Khoáng sản,HNX
KSV,Than - Khoáng sản,HNX
MDC,Than - Khoáng sản,HNX
NBC,Than - Khoáng sản,HNX
THT,Than - Khoáng sản,HNX
TMB,Than - Khoáng sản,HNX
TVD,Than - Khoáng sản,HNX
AAH,Than - Khoáng sản,UPCOM
CST,Than - Khoáng sản,UPCOM
ITS,Than - Khoáng sản,UPCOM
KCB,Than - Khoáng sản,UPCOM
KHD,Than - Khoáng sản,UPCOM
MIC,Than - Khoáng sản,UPCOM
MSR,Than - Khoáng sản,UPCOM
HMC,Thép - Kim loại,HOSE
HPG,Thép - Kim loại,HOSE
HSG,Thép - Kim loại,HOSE
NKG,Thép - Kim loại,HOSE
SMC,Thép - Kim loại,HOSE
TLH,Thép - Kim loại,HOSE
VCA,Thép - Kim loại,HOSE
VGS,Thép - Kim loại,HNX
BVG,Thép - Kim loại,UPCOM
HSV,Thép - Kim loại,UPCOM
TDS,Thép - Kim loại,UPCOM
TIS,Thép - Kim loại,UPCOM
TVN,Thép - Kim loại,UPCOM
AAM,Thủy hải sản,HOSE
ABT,Thủy hải sản,HOSE
ACL,Thủy hải sản,HOSE
ANV,Thủy hải sản,HOSE
CMX,Thủy hải sản,HOSE
DAT,Thủy hải sản,HOSE
FMC,Thủy hải sản,HOSE
IDI,Thủy hải sản,HOSE
VHC,Thủy hải sản,HOSE
KHS,Thủy hải sản,HNX
AGF,Thủy hải sản,UPCOM
APT,Thủy hải sản,UPCOM
BLF,Thủy hải sản,UPCOM
CAD,Thủy hải sản,UPCOM
CAT,Thủy hải sản,UPCOM
CCA,Thủy hải sản,UPCOM
ICF,Thủy hải sản,UPCOM
JOS,Thủy hải sản,UPCOM
MPC,Thủy hải sản,UPCOM
NGC,Thủy hải sản,UPCOM
SEA,Thủy hải sản,UPCOM
AGM,Thực phẩm,HOSE
BAF,Thực phẩm,HOSE
BBC,Thực phẩm,HOSE
BHN,Thực phẩm,HOSE
DBC,Thực phẩm,HOSE
FMC,Thực phẩm,HOSE
KDC,Thực phẩm,HOSE
LAF,Thực phẩm,HOSE
LSS,Thực phẩm,HOSE
NAF,Thực phẩm,HOSE
PAN,Thực phẩm,HOSE
SAB,Thực phẩm,HOSE
SBT,Thực phẩm,HOSE
SMB,Thực phẩm,HOSE
VCF,Thực phẩm,HOSE
VNM,Thực phẩm,HOSE
BCF,Thực phẩm,HNX
BNA,Thực phẩm,HNX
CAP,Thực phẩm,HNX
HAD,Thực phẩm,HNX
HAT,Thực phẩm,HNX
HHC,Thực phẩm,HNX
KTS,Thực phẩm,HNX
SAF,Thực phẩm,HNX
SGC,Thực phẩm,HNX
SLS,Thực phẩm,HNX
VHE,Thực phẩm,HNX
AFX,Thực phẩm,UPCOM
ANT,Thực phẩm,UPCOM
APC,Thực phẩm,UPCOM
APF,Thực phẩm,UPCOM
BLT,Thực phẩm,UPCOM
BSL,Thực phẩm,UPCOM
CMF,Thực phẩm,UPCOM
FCS,Thực phẩm,UPCOM
HAV,Thực phẩm,UPCOM
HNG,Thực phẩm,UPCOM
IFS,Thực phẩm,UPCOM
QNS,Thực phẩm,UPCOM
SCD,Thực phẩm,UPCOM
VSF,Thực phẩm,UPCOM
VSN,Thực phẩm,UPCOM
ADG,Truyền thông giải trí,HOSE
PNC,Truyền thông giải trí,HOSE
YEG,Truyền thông giải trí,HOSE
ADC,Truyền thông giải trí,HNX
ALT,Truyền thông giải trí,HNX
BDB,Truyền thông giải trí,HNX
BED,Truyền thông giải trí,HNX
BST,Truyền thông giải trí,HNX
DAD,Truyền thông giải trí,HNX
DAE,Truyền thông giải trí,HNX
DST,Truyền thông giải trí,HNX
EBS,Truyền thông giải trí,HNX
ECI,Truyền thông giải trí,HNX
EID,Truyền thông giải trí,HNX
LBE,Truyền thông giải trí,HNX
SED,Truyền thông giải trí,HNX
SGD,Truyền thông giải trí,HNX
SMN,Truyền thông giải trí,HNX
STC,Truyền thông giải trí,HNX
EPH,Truyền thông giải trí,UPCOM
FHS,Truyền thông giải trí,UPCOM
FOC,Truyền thông giải trí,UPCOM
HTP,Truyền thông giải trí,UPCOM
NBE,Truyền thông giải trí,UPCOM
STH,Truyền thông giải trí,UPCOM
VEF,Truyền thông giải trí,UPCOM
VNB,Truyền thông giải trí,UPCOM
VPR,Truyền thông giải trí,UPCOM
AGG,Xây dựng,HOSE
BCE,Xây dựng,HOSE
BCG,Xây dựng,HOSE
BCM,Xây dựng,HOSE
CCL,Xây dựng,HOSE
CDC,Xây dựng,HOSE
CIG,Xây dựng,HOSE
CII,Xây dựng,HOSE
CKG,Xây dựng,HOSE
CRE,Xây dựng,HOSE
CTD,Xây dựng,HOSE
CTI,Xây dựng,HOSE
DIG,Xây dựng,HOSE
DPG,Xây dựng,HOSE
DRH,Xây dựng,HOSE
DTA,Xây dựng,HOSE
DXG,Xây dựng,HOSE
EVG,Xây dựng,HOSE
FCN,Xây dựng,HOSE
FDC,Xây dựng,HOSE
FIR,Xây dựng,HOSE
HAR,Xây dựng,HOSE
HAS,Xây dựng,HOSE
HDC,Xây dựng,HOSE
HDG,Xây dựng,HOSE
HHV,Xây dựng,HOSE
HPX,Xây dựng,HOSE
HQC,Xây dựng,HOSE
HTN,Xây dựng,HOSE
HUB,Xây dựng,HOSE
HVH,Xây dựng,HOSE
IJC,Xây dựng,HOSE
ITA,Xây dựng,HOSE
ITC,Xây dựng,HOSE
KBC,Xây dựng,HOSE
KDH,Xây dựng,HOSE
KOS,Xây dựng,HOSE
LCG,Xây dựng,HOSE
LDG,Xây dựng,HOSE
LEC,Xây dựng,HOSE
LGC,Xây dựng,HOSE
LGL,Xây dựng,HOSE
LHG,Xây dựng,HOSE
NBB,Xây dựng,HOSE
NHA,Xây dựng,HOSE
NLG,Xây dựng,HOSE
NTL,Xây dựng,HOSE
NVL,Xây dựng,HOSE
PDR,Xây dựng,HOSE
PHC,Xây dựng,HOSE
PTL,Xây dựng,HOSE
QCG,Xây dựng,HOSE
REE,Xây dựng,HOSE
SCR,Xây dựng,HOSE
SGR,Xây dựng,HOSE
SJS,Xây dựng,HOSE
SRF,Xây dựng,HOSE
SZC,Xây dựng,HOSE
TCD,Xây dựng,HOSE
TCH,Xây dựng,HOSE
TDC,Xây dựng,HOSE
TDH,Xây dựng,HOSE
TIP,Xây dựng,HOSE
VCG,Xây dựng,HOSE
VHM,Xây dựng,HOSE
VIC,Xây dựng,HOSE
VNE,Xây dựng,HOSE
VPH,Xây dựng,HOSE
VPI,Xây dựng,HOSE
VRC,Xây dựng,HOSE
AME,Xây dựng,HNX
API,Xây dựng,HNX
BAX,Xây dựng,HNX
CEO,Xây dựng,HNX
CMS,Xây dựng,HNX
CSC,Xây dựng,HNX
DIH,Xây dựng,HNX
DTD,Xây dựng,HNX
HLD,Xây dựng,HNX
HUT,Xây dựng,HNX
ICG,Xây dựng,HNX
IDJ,Xây dựng,HNX
IDV,Xây dựng,HNX
LCD,Xây dựng,HNX
LHC,Xây dựng,HNX
LIG,Xây dựng,HNX
MCO,Xây dựng,HNX
MST,Xây dựng,HNX
NDN,Xây dựng,HNX
NDX,Xây dựng,HNX
NRC,Xây dựng,HNX
RCL,Xây dựng,HNX
SCI,Xây dựng,HNX
SJE,Xây dựng,HNX
SZB,Xây dựng,HNX
THD,Xây dựng,HNX
TIG,Xây dựng,HNX
VCC,Xây dựng,HNX
VMC,Xây dựng,HNX
CTX,Xây dựng,UPCOM
HBC,Xây dựng,UPCOM
KTT,Xây dựng,UPCOM
PXI,Xây dựng,UPCOM
SDT,Xây dựng,UPCOM
UDC,Xây dựng,UPCOM
DBD,Y tế - Dược phẩm,HOSE
DBT,Y tế - Dược phẩm,HOSE
DCL,Y tế - Dược phẩm,HOSE
DHG,Y tế - Dược phẩm,HOSE
DMC,Y tế - Dược phẩm,HOSE
IMP,Y tế - Dược phẩm,HOSE
JVC,Y tế - Dược phẩm,HOSE
OPC,Y tế - Dược phẩm,HOSE
SPM,Y tế - Dược phẩm,HOSE
TRA,Y tế - Dược phẩm,HOSE
VDP,Y tế - Dược phẩm,HOSE
VFG,Y tế - Dược phẩm,HOSE
VMD,Y tế - Dược phẩm,HOSE
AMV,Y tế - Dược phẩm,HNX
CPC,Y tế - Dược phẩm,HNX
DHT,Y tế - Dược phẩm,HNX
DTG,Y tế - Dược phẩm,HNX
LDP,Y tế - Dược phẩm,HNX
MKV,Y tế - Dược phẩm,HNX
PMC,Y tế - Dược phẩm,HNX
PPP,Y tế - Dược phẩm,HNX
BCP,Y tế - Dược phẩm,UPCOM
DBM,Y tế - Dược phẩm,UPCOM
DDN,Y tế - Dược phẩm,UPCOM
DHD,Y tế - Dược phẩm,UPCOM
DNM,Y tế - Dược phẩm,UPCOM
DPP,Y tế - Dược phẩm,UPCOM
DVN,Y tế - Dược phẩm,UPCOM
HDP,Y tế - Dược phẩm,UPCOM
MTP,Y tế - Dược phẩm,UPCOM
NDC,Y tế - Dược phẩm,UPCOM
NDP,Y tế - Dược phẩm,UPCOM
UPH,Y tế - Dược phẩm,UPCOM
BTP,Điện - Năng lượng,HOSE
CHP,Điện - Năng lượng,HOSE
DRL,Điện - Năng lượng,HOSE
GEG,Điện - Năng lượng,HOSE
HNA,Điện - Năng lượng,HOSE
KHP,Điện - Năng lượng,HOSE
PGV,Điện - Năng lượng,HOSE
POW,Điện - Năng lượng,HOSE
PPC,Điện - Năng lượng,HOSE
SBA,Điện - Năng lượng,HOSE
SHP,Điện - Năng lượng,HOSE
SJD,Điện - Năng lượng,HOSE
TBC,Điện - Năng lượng,HOSE
TMP,Điện - Năng lượng,HOSE
TTA,Điện - Năng lượng,HOSE
TTE,Điện - Năng lượng,HOSE
VNE,Điện - Năng lượng,HOSE
VPD,Điện - Năng lượng,HOSE
VSH,Điện - Năng lượng,HOSE
DHP,Điện - Năng lượng,HNX
HJS,Điện - Năng lượng,HNX
NBP,Điện - Năng lượng,HNX
NTH,Điện - Năng lượng,HNX
PIC,Điện - Năng lượng,HNX
SEB,Điện - Năng lượng,HNX
AVC,Điện - Năng lượng,UPCOM
BHA,Điện - Năng lượng,UPCOM
BSA,Điện - Năng lượng,UPCOM
DNA,Điện - Năng lượng,UPCOM
DNH,Điện - Năng lượng,UPCOM
DTE,Điện - Năng lượng,UPCOM
DTK,Điện - Năng lượng,UPCOM
EIC,Điện - Năng lượng,UPCOM
GHC,Điện - Năng lượng,UPCOM
GSM,Điện - Năng lượng,UPCOM
HND,Điện - Năng lượng,UPCOM
HPD,Điện - Năng lượng,UPCOM
ISH,Điện - Năng lượng,UPCOM
NED,Điện - Năng lượng,UPCOM
QPH,Điện - Năng lượng,UPCOM
QTP,Điện - Năng lượng,UPCOM
SBH,Điện - Năng lượng,UPCOM
SBM,Điện - Năng lượng,UPCOM
SVH,Điện - Năng lượng,UPCOM
TBD,Điện - Năng lượng,UPCOM
TDB,Điện - Năng lượng,UPCOM
VCP,Điện - Năng lượng,UPCOM
CII,Đầu tư công,HOSE
CTD,Đầu tư công,HOSE
CTI,Đầu tư công,HOSE
CTR,Đầu tư công,HOSE
DIG,Đầu tư công,HOSE
DPG,Đầu tư công,HOSE
EVG,Đầu tư công,HOSE
FCN,Đầu tư công,HOSE
HHV,Đầu tư công,HOSE
HTI,Đầu tư công,HOSE
HTN,Đầu tư công,HOSE
HUB,Đầu tư công,HOSE
LCG,Đầu tư công,HOSE
HUT,Đầu tư công,HNX
MST,Đầu tư công,HNX
PDB,Đầu tư công,HNX
HBC,Đầu tư công,UPCOM
